timestamp,type,says,basketValueGross,overallBasketSavings,basketValueNet,numberOfItems,payment_type,payment_category,payment_amount,customerId,requestId
2022-03-11 15:41:54.544,IN_STORE,NA,14.6,1.0,12.05,8,MastercardDebit,MastercardDebit,12.05,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-07-12 12:59:46.320,IN_STORE,NA,3.4,2.5,3.4,3,Amex,Amex,3.4,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-07-12 11:55:59.673,IN_STORE,NA,3.0,2.8,3.0,3,MastercardDebit,MastercardDebit,3.0,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-01-21 13:19:52.787,IN_STORE,NA,21.0,1.3,19.7,21,MastercardDebit,MastercardDebit,19.7,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-02-18 13:26:17.367,IN_STORE,NA,14.95,1.85,14.95,6,VisaDebit,VisaDebit,14.95,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-02-18 14:17:58.762,IN_STORE,NA,4.25,1.65,4.25,3,Amex,Amex,4.25,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-06-05 16:53:49.566,IN_STORE,NA,2.6,,2.6,2,Amex,Amex,2.6,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2025-02-12 14:20:27.365,IN_STORE,NA,34.42,4.45,34.42,19,AMERICAN EXPRESS,AMERICAN EXPRESS,34.42,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-02-11 20:11:30.593,IN_STORE,NA,31.55,,28.93,28,MastercardDebit,MastercardDebit,28.93,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-08-29 10:51:13.845,IN_STORE,NA,41.44,6.5,34.94,10,MastercardDebit,MastercardDebit,34.94,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-01-02 13:42:25.823,IN_STORE,NA,48.07,,48.07,1,Amex,Amex,48.07,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
